what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1263329872147
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1263329872147
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1263329872147
java.specification.name,sysinfo,,,"Java Platform API Specification",1263329872147
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263329872147
java.specification.version,sysinfo,,,"1.6",1263329872147
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1263329872147
java.version,sysinfo,,,"1.6.0_17",1263329872147
java.vm.info,sysinfo,,,"mixed mode",1263329872147
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1263329872147
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1263329872147
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263329872147
java.vm.specification.version,sysinfo,,,"1.0",1263329872147
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1263329872147
java.vm.version,sysinfo,,,"14.3-b01",1263329872147
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1263329872356
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1263329872466
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1263329872631
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1263329872660
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1263329873588
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1263329873611
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1263329873633
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1263329873770
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1263329873774
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1263329873843
