what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1263404895523
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1263404895523
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1263404895524
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1263404895525
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1263404895525
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1263404895527
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1263404895528
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1263404895529
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1263404895530
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1263404895532
os,sysinfo,,,"win32",1263404895536
arch,sysinfo,,,"x86",1263404895536
ws,sysinfo,,,"win32",1263404895536
locale,sysinfo,,,"en_GB",1263404895536
processors,sysinfo,,,"2",1263404895536
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1263404895536
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1263404895536
java.specification.name,sysinfo,,,"Java Platform API Specification",1263404895536
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263404895536
java.specification.version,sysinfo,,,"1.6",1263404895536
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1263404895536
java.version,sysinfo,,,"1.6.0_17",1263404895536
java.vm.info,sysinfo,,,"mixed mode",1263404895536
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1263404895536
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1263404895536
